startdate,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025-03-04 10:19:46,JC2024041,8,12,24LBDE991Be01,Asahi,546.0,150.8,12.2,0.0,0.0
2025-03-04 16:23:46,JC2024041,5,8,24L8DHA0GCg01,Asahi,544.0,151.2,12.3,0.0,0.0
2025-03-04 20:33:53,JC2019007,4,7,24L2D1AM1Cg01,Ogura,,149.0,12.2,0.0,1.0
2025-03-04 22:02:31,JC2024097,3,6,24LBDE991Dg01,Asahi,545.0,149.1,12.1,0.0,1.0
2025-03-04 22:37:28,JC2019007,2,4,24L2D1AM1De01,Asahi,548.0,162.3,7.0,0.0,0.0
2025-03-04 23:30:27, PF2025028,5,8,24LBDEA04Ah00,Asahi,544.0,150.8,12.0,0.0,2.0
2025-03-05 01:42:03,JC2019007,6,9,24L2D1AM0Ca01,Asahi,547.0,148.6,12.0,0.0,1.0
2025-03-05 04:41:51,JC2024097,7,11,24LBDE997Cc01,Asahi,549.0,156.4,12.1,0.0,2.0
2025-03-05 07:40:44,JC2024097,8,12,24LBDEA00Ab01,Asahi,546.0,147.9,12.1,0.14,3.0
2025-03-05 09:17:35,JC2024041,7,11,24L9DHA0KCc01,Asahi,549.0,156.4,12.1,0.0,2.0
2025-03-05 09:32:23,JC2024041,8,12,24LBDE997Dg01,Asahi,546.0,147.9,12.1,2.1,2.0
2025-03-05 09:42:58,JC2024041,5,8,24L2D1AM4Ba01,Asahi,550.0,152.1,12.2,4.4,0.0
2025-03-05 09:57:05,JC2024041,3,6,24L2D1AM4Bg01,Asahi,545.0,149.1,12.1,0.0,0.0
2025-03-05 18:09:55,JC2024111,6,9,24LBDEA03Ch01,Asahi,547.0,155.7,12.4,3.7,1.0
2025-03-05 19:57:19,JC2024041,4,7,24LBDEA04Ae01,Ogura,9.0,154.8,12.2,0.0,0.0
2025-03-05 23:13:32,JC2024097,5,8,24L7DF964Dh00,Asahi,550.0,150.6,12.2,0.0,0.0
2025-03-05 23:41:30,JC2024097,6,9,24L9DHA0LDa00,Asahi,551.0,151.8,12.2,0.89,3.0
2025-03-06 01:26:17,JC2019007,8,12,24LBDEA04Ca01,Asahi,546.0,145.2,12.1,1.93,1.0
2025-03-06 01:50:57,JC2019007,6,9,24LBDEA03Bd01,Asahi,551.0,149.1,12.1,0.0,0.0
2025-03-06 03:43:34,JC2024097,3,6,24LBDEA0GDg01,Asahi,552.0,149.5,12.1,0.1,0.0
2025-03-06 06:12:41,JC2019007,2,4,24LBDEA01Dc01,Asahi,548.0,160.3,7.0,0.0,0.0
2025-03-06 08:34:50,JC2019007,7,11,24LBDEA0BDh01,Asahi,549.0,155.5,12.3,0.0,0.0
2025-03-06 09:40:59,JC2024116,2,4,24LBDEA0ACc01,Asahi,548.0,160.3,7.0,0.0,0.0
2025-03-06 09:52:37,JC2024116,3,6,24LBDEA0BCa01,Asahi,552.0,149.5,12.1,0.0,0.0
2025-03-06 13:01:12,JC2024116,8,12,24LBDEA0CBg01,Asahi,553.0,155.7,12.1,0.2,5.0
2025-03-06 19:50:43,JC2017031,8,12,24LBDEA05Bh01,Asahi,553.0,149.6,12.0,0.06,0.0
2025-03-06 20:08:48,JC2017031,6,9,24L9DHA0UBf00,TECDIA,5.0,150.1,12.0,0.0,0.0
2025-03-06 22:31:50,JC2016103,6,9,24L9DHA0QDa00,TECDIA,5.0,152.1,12.0,0.0,0.0
2025-03-06 23:01:34,JC2016103,2,4,24L9DHA0WDa00,Asahi,548.0,160.0,7.0,0.0,0.0
2025-03-06 23:34:36,JC2016103,7,11,24LBDEA06Bb01,Asahi,549.0,158.4,12.3,0.0,0.0
2025-03-06 23:51:12,JC2016103,4,7,24LBDEA08Ab01,Ogura,4.0,154.8,12.1,0.0,0.0
2025-03-07 01:08:23,JC2016103,8,12,24LYDF965Ab01,Asahi,553.0,152.4,12.0,4.61,0.0
2025-03-07 03:12:26,JC2016103,8,12,24L9DHA0LAb01,Asahi,554.0,150.1,12.3,0.0,0.0
2025-03-07 05:40:48,JC2016103,5,8,24LYDF967Aa00,Asahi,555.0,148.6,12.1,0.0,0.0
2025-03-07 08:13:51,JC2016103,3,6,24MCDHA3JAh00,Asahi,552.0,154.4,12.2,0.0,0.0
2025-03-07 16:46:48,JC2024116,2,4,24L9DHA0NAb01,Asahi,556.0,164.3,7.0,0.0,0.0
2025-03-07 17:18:28,JC2024116,7,11,24L9DHA0NAg01,Asahi,557.0,155.7,12.2,0.0,1.0
2025-03-07 20:55:59,JC2016103,4,7,24LBDEA07Dg01,Ogura,,150.9,12.3,0.2,1.0
2025-03-07 23:49:27, PF2025027,7,11,24L9DHA0TDb01,Asahi,557.0,157.1,12.0,0.1,0.0
2025-03-07 23:55:44, PF2025027,3,6,24L9DHA0TDg00,Asahi,552.0,159.4,12.1,0.0,0.0
2025-03-08 00:24:22, PF2025027,8,12,24L9DHA0PCa01,Asahi,554.0,146.8,12.1,2.97,1.0
2025-03-08 00:36:04, PF2025027,5,8,24LBDEA0HBb01,Asahi,555.0,152.2,11.6,0.74,0.0
2025-03-08 04:15:27,JC2016103,8,12,24LBDEA0HCe01,Asahi,554.0,155.4,12.2,0.0,0.0
2025-03-08 07:19:31,JC2016103,6,9,24LBDEA0HAb01,TECDIA,5.0,149.1,11.9,0.15,1.0
2025-03-08 15:19:15,JC2024116,2,6,24MCDHA3RCc00,Asahi,558.0,156.4,12.1,0.0,0.0
