Serial_Number,Part_Number,Start_Date_Time,Operation,TestStation,Site,LotNumber_9,Mapper_Average_Mapper_PL_Lambda2,operator,part_number,serial_number,start_date_time
,,2016-10-07T04:48:49,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-07T04:48:49
,,2016-10-07T13:39:15,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-07T13:39:15
,,2016-10-08T09:18:04,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-08T09:18:04
,,2016-10-08T13:14:12,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-08T13:14:12
,,2016-10-09T03:53:29,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-09T03:53:29
,,2016-10-09T08:16:59,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-09T08:16:59
,,2016-10-15T05:16:52,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-15T05:16:52
,,2016-10-19T03:31:59,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-19T03:31:59
,,2016-10-19T12:12:55,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-19T12:12:55
,,2016-10-19T16:16:14,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-19T16:16:14
,,2016-10-19T23:28:31,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-19T23:28:31
,,2016-11-16T15:14:46,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-16T15:14:46
,,2016-11-16T19:18:31,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-16T19:18:31
,,2016-11-16T23:24:30,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-16T23:24:30
,,2016-11-17T07:50:26,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-17T07:50:26
,,2016-11-17T12:59:06,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-17T12:59:06
,,2016-11-17T17:10:08,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-17T17:10:08
,,2016-11-18T05:41:51,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-18T05:41:51
,,2016-11-18T09:27:00,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-11-18T09:27:00
,,2016-02-09T08:52:54,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-02-09T08:52:54
,,2017-10-14T07:36:00,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-14T07:36:00
,,2017-10-16T04:34:15,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-16T04:34:15
,,2017-10-16T08:13:00,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-16T08:13:00
,,2017-10-16T13:15:06,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-16T13:15:06
,,2017-10-18T16:04:11,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-18T16:04:11
,,2017-10-19T05:45:29,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-19T05:45:29
,,2017-10-19T13:44:48,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-19T13:44:48
,,2017-10-19T18:03:20,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-19T18:03:20
,,2017-10-19T22:53:38,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-19T22:53:38
,,2017-10-20T05:29:21,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-20T05:29:21
,,2017-10-20T14:15:36,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-20T14:15:36
,,2017-10-21T15:41:54,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-21T15:41:54
,,2017-10-21T19:40:44,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-21T19:40:44
,,2017-12-09T01:11:23,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-09T01:11:23
,,2017-12-09T06:35:35,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-09T06:35:35
,,2017-12-09T10:48:06,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-09T10:48:06
,,2017-12-09T15:59:38,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-09T15:59:38
,,2017-12-09T20:20:27,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-09T20:20:27
,,2017-12-10T00:32:56,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-10T00:32:56
,,2017-12-10T04:32:27,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-10T04:32:27
,,2017-12-13T18:48:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-13T18:48:43
,,2017-12-13T22:54:15,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-13T22:54:15
,,2017-12-14T02:56:09,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-14T02:56:09
,,2017-12-14T06:56:40,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-14T06:56:40
,,2017-11-26T06:27:35,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-26T06:27:35
,,2017-11-26T10:28:23,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-26T10:28:23
,,2017-11-26T17:11:35,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-26T17:11:35
,,2017-11-27T22:02:05,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-27T22:02:05
,,2017-11-29T21:38:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-29T21:38:43
,,2017-12-23T13:09:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-23T13:09:57
,,2017-12-23T18:26:53,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-23T18:26:53
,,2017-12-23T23:23:09,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-23T23:23:09
,,2017-12-27T14:09:23,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-27T14:09:23
